z,symbol,charge,electron_count,configuration,ground_multiplicity,state_role,physical_status,state_source,rule_reason,notes
4,Be,-1,5,1s2 2s2 2p1,2,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
5,B,-2,7,1s2 2s2 2p3,4,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
6,C,-3,9,1s2 2s2 2p5,2,formal_multianion,not_claimed,formal_rule,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
6,C,-2,8,1s2 2s2 2p4,3,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
7,N,-3,10,1s2 2s2 2p6,1,formal_multianion,not_claimed,formal_rule,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
7,N,-2,9,1s2 2s2 2p5,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
7,N,-1,8,1s2 2s2 2p4,3,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
8,O,-2,10,1s2 2s2 2p6,1,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
9,F,-2,11,[Ne] 3s1,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
12,Mg,-1,13,[Ne] 3s2 3p1,2,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
13,Al,-2,15,[Ne] 3s2 3p3,4,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
14,Si,-2,16,[Ne] 3s2 3p4,3,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
15,P,-3,18,[Ne] 3s2 3p6,1,formal_multianion,not_claimed,formal_rule,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
15,P,-2,17,[Ne] 3s2 3p5,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
16,S,-2,18,[Ne] 3s2 3p6,1,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
17,Cl,-2,19,[Ar] 4s1,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
25,Mn,-1,26,[Ar] 3d6 4s2,5,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
30,Zn,-1,31,[Ar] 3d10 4s2 4p1,2,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
31,Ga,-2,33,[Ar] 3d10 4s2 4p3,4,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
32,Ge,-2,34,[Ar] 3d10 4s2 4p4,3,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
33,As,-3,36,[Ar] 3d10 4s2 4p6,1,formal_multianion,not_claimed,formal_rule,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
33,As,-2,35,[Ar] 3d10 4s2 4p5,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
34,Se,-2,36,[Ar] 3d10 4s2 4p6,1,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
35,Br,-2,37,[Kr] 5s1,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
43,Tc,-1,44,[Kr] 4d6 5s2,5,formal_monoanion,not_claimed,manual_curated,review_theory_only_but_required_by_policy,"Ning-Lu row is theory-only or limit-based; included as a formal monoanion reference, not as a physical/reference monoanion."
48,Cd,-1,49,[Cd] 5p1,2,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
49,In,-2,51,[Cd] 5p3,4,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
50,Sn,-2,52,[Cd] 5p4,3,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
51,Sb,-3,54,[Cd] 5p6,1,formal_multianion,not_claimed,formal_rule,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
51,Sb,-2,53,[Cd] 5p5,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
52,Te,-2,54,[Cd] 5p6,1,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
53,I,-2,55,[Xe] 6s1,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
61,Pm,-1,62,[Xe] 4f5 6s2 6p1,7,formal_monoanion,not_claimed,manual_curated,review_theory_only_but_required_by_policy,"Ning-Lu row is theory-only or limit-based; included as a formal monoanion reference, not as a physical/reference monoanion."
62,Sm,-1,63,[Xe] 4f6 6s2 6p1,8,formal_monoanion,not_claimed,manual_curated,review_theory_only_but_required_by_policy,"Ning-Lu row is theory-only or limit-based; included as a formal monoanion reference, not as a physical/reference monoanion."
67,Ho,-1,68,[Xe] 4f11 6s2 6p1,5,formal_monoanion,not_claimed,manual_curated,review_theory_only_but_required_by_policy,"Ning-Lu row is theory-only or limit-based; included as a formal monoanion reference, not as a physical/reference monoanion."
68,Er,-1,69,[Xe] 4f12 6s2 6p1,4,formal_monoanion,not_claimed,manual_curated,review_theory_only_but_required_by_policy,"Ning-Lu row is theory-only or limit-based; included as a formal monoanion reference, not as a physical/reference monoanion."
70,Yb,-1,71,[Xe] 4f14 5d1 6s2,2,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
80,Hg,-1,81,[Hg] 6p1,2,formal_monoanion,not_claimed,formal_rule,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy."
81,Tl,-2,83,[Hg] 6p3,4,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
82,Pb,-2,84,[Hg] 6p4,3,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
83,Bi,-3,86,[Hg] 6p6,1,formal_multianion,not_claimed,formal_rule,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
83,Bi,-2,85,[Hg] 6p5,2,formal_multianion,not_claimed,formal_rule,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
