state_id,z,symbol,charge,electron_count,configuration,ground_level,multiplicity,spin_2s,state_category,state_role,physical_status,state_source,source_table,nist_ie_provenance,rule_reason,notes
H_qm1_mult1_ning2022,1,H,-1,2,1s2,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,recommended high-accuracy calculation; experimental photodetachment value exists
H_q0_mult2_nist,1,H,0,1,1s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
He_q0_mult1_nist,2,He,0,2,1s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
He_qp1_mult2_nist,2,He,1,1,1s1,2S1/2,2,1,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
Li_qm1_mult1_ning2022,3,Li,-1,4,[He] 2s2,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Li_q0_mult2_nist,3,Li,0,3,1s2 2s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Li_qp1_mult1_nist,3,Li,1,2,1s2,1S0,1,0,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
Be_qm1_mult2_formal,4,Be,-1,5,1s2 2s2 2p1,,2,1,formal_anion_reference,formal_monoanion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy. | Formal stockholder/Hirshfeld-I reference; not a claim of a stable isolated atomic anion."
Be_q0_mult1_nist,4,Be,0,4,1s2 2s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Be_qp1_mult2_nist,4,Be,1,3,1s2 2s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
